group_id,society_id,song_id,PopName,phylogeny.glottocode,Priority.ranking.for.review,pairing.glottocode
25477shos1248shos1248,25477,193,NA,shos1248,10,shos1248
11639bann1248bann1248,11639,194,NA,bann1248,10,bann1248
28524wash1253wash1253,28524,195,NA,wash1253,9,wash1253
24575sout2969sout2969,24575,196,NA,sout2969,9,sout2969
62526utee1244utee1244,62526,197,NA,utee1244,10,utee1244
62526utee1244utee1244,62526,198,NA,utee1244,10,utee1244
28414wala1270wala1270,28414,199,NA,wala1270,10,wala1270
19460kwak1269kwak1269,19460,200,NA,kwak1269,10,kwak1269
13190west2618west2618,13190,201,NA,west2618,3,west2618
13190west2618west2618,13190,202,NA,west2618,3,west2618
27083Tikopiatiko1237tiko1237,27083,203,Tikopia,tiko1237,5,tiko1237
27083Tikopiatiko1237tiko1237,27083,204,Tikopia,tiko1237,5,tiko1237
27083Tikopiatiko1237tiko1237,27083,205,Tikopia,tiko1237,5,tiko1237
27083Tikopiatiko1237tiko1237,27083,206,Tikopia,tiko1237,5,tiko1237
22881nuku1258nuku1258,22881,207,NA,nuku1258,1,nuku1258
27083Tikopiatiko1237tiko1237,27083,208,Tikopia,tiko1237,5,tiko1237
27083Tikopiatiko1237tiko1237,27083,209,Tikopia,tiko1237,5,tiko1237
27083Tikopiatiko1237tiko1237,27083,210,Tikopia,tiko1237,5,tiko1237
27083Tikopiatiko1237tiko1237,27083,211,Tikopia,tiko1237,5,tiko1237
27083Tikopiatiko1237tiko1237,27083,212,Tikopia,tiko1237,5,tiko1237
10209sakh1245sakh1245,10209,213,NA,sakh1245,10,sakh1245
14675dogo1299dogo1299,14675,214,NA,dogo1299,9,dogo1299
15544fula1264fula1264,15544,215,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,216,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,217,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,218,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,219,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,220,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,221,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,222,NA,fula1264,3,fula1264
15544fula1264fula1264,15544,223,NA,fula1264,3,fula1264
15929dann1241dann1241,15929,224,NA,dann1241,10,dann1241
20615Mandenkamand1436mand1436,20615,225,Mandenka,mand1436,3,mand1436
19801lend1245lend1245,19801,227,NA,lend1245,10,lend1245
19801lend1245lend1245,19801,228,NA,lend1245,10,lend1245
19801lend1245lend1245,19801,229,NA,lend1245,10,lend1245
19856MbutiPygmylese1243lese1243,19856,230,NA,lese1243,10,lese1243
20681mamv1243mamv1243,20681,231,NA,mamv1243,2,mamv1243
20681mamv1243mamv1243,20681,232,NA,mamv1243,2,mamv1243
20681mamv1243mamv1243,20681,233,NA,mamv1243,2,mamv1243
20681mamv1243mamv1243,20681,234,NA,mamv1243,2,mamv1243
20681mamv1243mamv1243,20681,235,NA,mamv1243,2,mamv1243
20945masa1322masa1322,20945,236,NA,masa1322,10,masa1322
10396alur1250alur1250,10396,237,NA,alur1250,10,alur1250
11155zand1248zand1248,11155,238,NA,zand1248,3,zand1248
21891mund1326mund1326,21891,239,NA,mund1326,10,mund1326
20241Luoluok1236luok1236,20241,240,Luo,luok1236,9,luok1236
22166nand1266nand1266,22166,241,NA,nand1266,10,nand1266
22166nand1266nand1266,22166,242,NA,nand1266,10,nand1266
19262Ju_hoan_Northjuho1239juho1239,19262,243,Ju_hoan_South,juho1239,5,juho1239
19262Ju_hoan_Southjuho1239juho1239,19262,244,Ju_hoan_North,juho1239,5,juho1239
11215akan1250akan1250,11215,245,NA,akan1250,10,akan1250
11215akan1250akan1250,11215,246,NA,akan1250,10,akan1250
11215akan1250akan1250,11215,247,NA,akan1250,10,akan1250
11215akan1250akan1250,11215,248,NA,akan1250,10,akan1250
21132asoa1238asoa1238,21132,249,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,250,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,251,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,252,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,253,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,254,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,255,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,256,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,257,MbutiPygmy,asoa1238,3,asoa1238
21132asoa1238asoa1238,21132,258,MbutiPygmy,asoa1238,3,asoa1238
27809Chiga: chig1238; Rundi: rund1242Chiga: chig1238; Rundi: rund1242,27809,259,NA,Chiga: chig1238; Rundi: rund1242,3,Chiga: chig1238; Rundi: rund1242
27809Chiga: chig1238; Rundi: rund1242Chiga: chig1238; Rundi: rund1242,27809,260,NA,Chiga: chig1238; Rundi: rund1242,3,Chiga: chig1238; Rundi: rund1242
22573zulu1248zulu1248,22573,261,NA,zulu1248,10,zulu1248
28172tong1318tong1318,28172,262,NA,tong1318,7,tong1318
28172tong1318tong1318,28172,263,NA,tong1318,7,tong1318
28172tong1318tong1318,28172,264,NA,tong1318,7,tong1318
28172tong1318tong1318,28172,265,NA,tong1318,7,tong1318
13806chop1243chop1243,13806,266,NA,chop1243,10,chop1243
22276ndau1241ndau1241,22276,267,NA,ndau1241,5,ndau1241
22276ndau1241ndau1241,22276,269,NA,ndau1241,5,ndau1241
22276ndau1241ndau1241,22276,270,NA,ndau1241,5,ndau1241
26797xhos1239xhos1239,26797,271,NA,xhos1239,10,xhos1239
28810xhos1239xhos1239,28810,272,NA,xhos1239,10,xhos1239
28821xhos1239xhos1239,28821,273,NA,xhos1239,10,xhos1239
28821xhos1239xhos1239,28821,274,NA,xhos1239,10,xhos1239
28821xhos1239xhos1239,28821,275,NA,xhos1239,10,xhos1239
23882xhos1239xhos1239,23882,276,NA,xhos1239,10,xhos1239
23882xhos1239xhos1239,23882,277,NA,xhos1239,10,xhos1239
25917soth1252soth1252,25917,278,Tswana,tswa1253,9,soth1252
25917soth1252soth1252,25917,279,Tswana,tswa1253,9,soth1252
25917soth1252soth1252,25917,280,Tswana,tswa1253,9,soth1252
25917soth1252soth1252,25917,281,Tswana,tswa1253,9,soth1252
27017tong1316tong1316,27017,282,NA,tong1316,10,tong1316
27017tong1316tong1316,27017,283,NA,tong1316,10,tong1316
27017tong1316tong1316,27017,284,NA,tong1316,10,tong1316
27017tong1316tong1316,27017,285,NA,tong1316,10,tong1316
27017tong1316tong1316,27017,286,NA,tong1316,10,tong1316
29360zulu1248zulu1248,29360,287,NA,zulu1248,5,zulu1248
29360zulu1248zulu1248,29360,289,NA,zulu1248,5,zulu1248
29360zulu1248zulu1248,29360,290,NA,zulu1248,5,zulu1248
29360zulu1248zulu1248,29360,291,NA,zulu1248,5,zulu1248
11067aush1241aush1241,11067,292,NA,aush1241,9,aush1241
11067aush1241aush1241,11067,293,NA,aush1241,9,aush1241
12002bemb1257bemb1257,12002,294,NA,bemb1257,5,bemb1257
12002bemb1257bemb1257,12002,295,NA,bemb1257,5,bemb1257
12794kimb1241kimb1241,12794,296,NA,kimb1241,10,kimb1241
13795chok1245chok1245,13795,297,NA,chok1245,10,chok1245
16710Malawi_Tumbukatumb1250tumb1250,16710,298,Malawi_Tumbuka,tumb1250,10,tumb1250
16710Malawi_Tumbukatumb1250tumb1250,16710,299,Malawi_Tumbuka,tumb1250,10,tumb1250
16710Malawi_Tumbukatumb1250tumb1250,16710,300,Malawi_Tumbuka,tumb1250,10,tumb1250
17997kany1247kany1247,17997,301,NA,kany1247,9,kany1247
17997kany1247kany1247,17997,302,NA,kany1247,9,kany1247
17997kany1247kany1247,17997,303,NA,kany1247,9,kany1247
19614lala1264lala1264,19614,305,NA,lala1264,6,lala1264
20131luba1249luba1249,20131,306,NA,luba1249,1,luba1249
20131luba1249luba1249,20131,307,NA,luba1249,1,luba1249
20142hemb1242hemb1242,20142,308,NA,hemb1242,10,hemb1242
20219luba1249luba1249,20219,309,NA,luba1249,10,luba1249
20230lund1266lund1266,20230,310,NA,lund1266,2,lund1266
20230lund1266lund1266,20230,311,NA,lund1266,2,lund1266
20252luva1239luva1239,20252,312,Mbukushu,luva1239,1,luva1239
20252luva1239luva1239,20252,313,Mbukushu,luva1239,1,luva1239
21077mbal1257mbal1257,21077,314,NA,mbal1257,10,mbal1257
22331ling1269ling1269,22331,315,NA,ling1269,10,ling1269
22331ling1269ling1269,22331,316,NA,ling1269,10,ling1269
23563phen1239phen1239,23563,319,NA,phen1239,10,phen1239
23563phen1239phen1239,23563,320,NA,phen1239,10,phen1239
27017tong1316tong1316,27017,321,NA,tong1316,10,tong1316
10682nyan1307nyan1307,10682,322,NA,nyan1307,10,nyan1307
10682nyan1307nyan1307,10682,323,NA,nyan1307,10,nyan1307
10682nyan1307nyan1307,10682,324,NA,nyan1307,10,nyan1307
15412bila1255bila1255,15412,325,NA,bila1255,10,bila1255
15412bila1255bila1255,15412,326,NA,bila1255,10,bila1255
12662budu1250budu1250,12662,327,NA,budu1250,10,budu1250
12662budu1250budu1250,12662,328,NA,budu1250,10,budu1250
12783bulu1251bulu1251,12783,329,Cameroon_Mbo,bulu1251,10,bulu1251
14807duma1253duma1253,14807,330,NA,duma1253,10,duma1253
14807duma1253duma1253,14807,331,NA,duma1253,10,duma1253
15577Cameroon_Bafutbafu1246bafu1246,15577,332,Cameroon_Bafut,bafu1246,10,bafu1246
15577Cameroon_Bafutbafu1246bafu1246,15577,333,Cameroon_Bafut,bafu1246,10,bafu1246
50261plau1238plau1238,50261,334,NA,plau1238,10,plau1238
10374swis1247swis1247,10374,335,NA,swis1247,9,swis1247
10374swis1247swis1247,10374,336,NA,swis1247,9,swis1247
10374swis1247swis1247,10374,337,NA,swis1247,9,swis1247
10374swis1247swis1247,10374,339,NA,swis1247,9,swis1247
10374swis1247swis1247,10374,341,NA,swis1247,9,swis1247
15181Estonianesto1258esto1258,15181,342,Estonian,esto1258,10,esto1258
16919Hungarian1hung1274hung1274,16919,343,Hungarian1,hung1274,5,hung1274
16919Hungarian1hung1274hung1274,16919,344,Hungarian1,hung1274,5,hung1274
20318mace1250mace1250,20318,345,NA,mace1250,4,mace1250
25220serb1264serb1264,25220,346,NA,serb1264,10,serb1264
50251roma1241roma1241,50251,347,NA,roma1241,10,roma1241
50252serb1264serb1264,50252,348,NA,serb1264,10,serb1264
25224mont1282mont1282,25224,349,NA,mont1282,10,mont1282
12563serb1264serb1264,12563,350,NA,serb1264,9,serb1264
12563serb1264serb1264,12563,351,NA,serb1264,9,serb1264
12563serb1264serb1264,12563,352,NA,serb1264,9,serb1264
14158Croatiancroa1245croa1245,14158,353,Croatian,croa1245,4,croa1245
14158Croatiancroa1245croa1245,14158,354,Croatian,croa1245,4,croa1245
14158Croatiancroa1245croa1245,14158,355,Croatian,croa1245,4,croa1245
12739Bulgarian: bulg1262; Macedonian: mace1250Bulgarian: bulg1262; Macedonian: mace1250,12739,356,NA,Bulgarian: bulg1262; Macedonian: mace1250,9,Bulgarian: bulg1262; Macedonian: mace1250
12761Bulgarianbulg1262bulg1262,12761,357,Bulgarian,bulg1262,9,bulg1262
12761Bulgarianbulg1262bulg1262,12761,358,Bulgarian,bulg1262,9,bulg1262
22254Bulgarianbulg1262bulg1262,22254,359,Bulgarian,bulg1262,9,bulg1262
12750Bulgarianbulg1262bulg1262,12750,360,Bulgarian,bulg1262,9,bulg1262
16809ainu1240ainu1240,16809,361,NA,ainu1240,6,ainu1240
16809ainu1240ainu1240,16809,362,NA,ainu1240,6,ainu1240
16809ainu1240ainu1240,16809,363,NA,ainu1240,6,ainu1240
16809ainu1240ainu1240,16809,364,NA,ainu1240,6,ainu1240
13663beij1234beij1234,13663,365,NA,beij1234,3,beij1234
26973Thaithai1261thai1261,26973,366,Thai,thai1261,3,thai1261
24564kyon1247kyon1247,24564,367,Korean,kore1280,6,kyon1247
24564kyon1247kyon1247,24564,368,Korean,kore1280,6,kyon1247
20813manu1262manu1262,20813,369,NA,manu1262,10,manu1262
30051toho1244toho1244,30051,370,NA,toho1244,5,toho1244
30051toho1244toho1244,30051,371,NA,toho1244,5,toho1244
30052toka1245toka1245,30052,372,NA,toka1245,10,toka1245
62405okay1237okay1237,62405,373,NA,okay1237,10,okay1237
30053chug1253chug1253,30053,374,NA,chug1253,9,chug1253
17502toky1238toky1238,17502,375,NA,toky1238,10,toky1238
30054kant1251kant1251,30054,376,NA,kant1251,9,kant1251
30053chug1253chug1253,30053,377,NA,chug1253,9,chug1253
30055shik1243shik1243,30055,378,NA,shik1243,9,shik1243
62407kyus1238kyus1238,62407,379,NA,kyus1238,10,kyus1238
30055shik1243shik1243,30055,380,NA,shik1243,9,shik1243
30055shik1243shik1243,30055,381,NA,shik1243,9,shik1243
30053chug1253chug1253,30053,382,NA,chug1253,9,chug1253
30056kyus1238kyus1238,30056,383,NA,kyus1238,10,kyus1238
22100cent2126cent2126,22100,384,NA,cent2126,9,cent2126
10418oshi1235oshi1235,10418,385,NA,oshi1235,10,oshi1235
22100cent2126cent2126,22100,386,NA,cent2126,9,cent2126
22100cent2126cent2126,22100,387,NA,cent2126,9,cent2126
28271Kinhviet1252viet1252,28271,388,Kinh,viet1252,3,viet1252
27028tibe1272tibe1272,27028,389,Tibetan_Shannan,tibe1272,3,tibe1272
27028tibe1272tibe1272,27028,390,Tibetan_Shannan,tibe1272,3,tibe1272
27028tibe1272tibe1272,27028,391,Tibetan_Shannan,tibe1272,3,tibe1272
30050tibe1272tibe1272,30050,392,Tibetan_Shannan,tibe1272,3,tibe1272
27028tibe1272tibe1272,27028,393,Tibetan_Shannan,tibe1272,3,tibe1272
27028tibe1272tibe1272,27028,394,Tibetan_Shannan,tibe1272,3,tibe1272
27028tibe1272tibe1272,27028,395,Tibetan_Shannan,tibe1272,3,tibe1272
30050tibe1272tibe1272,30050,396,Tibetan_Shannan,tibe1272,3,tibe1272
30050tibe1272tibe1272,30050,397,Tibetan_Shannan,tibe1272,3,tibe1272
27028tibe1272tibe1272,27028,398,Tibetan_Shannan,tibe1272,3,tibe1272
30050tibe1272tibe1272,30050,399,Tibetan_Shannan,tibe1272,3,tibe1272
27028tibe1272tibe1272,27028,400,Tibetan_Shannan,tibe1272,3,tibe1272
30050tibe1272tibe1272,30050,401,Tibetan_Shannan,tibe1272,3,tibe1272
30050tibe1272tibe1272,30050,402,Tibetan_Shannan,tibe1272,3,tibe1272
22386nepa1254nepa1254,22386,403,Bahun,nepa1254,10,nepa1254
10077bori1243bori1243,10077,404,NA,bori1243,9,bori1243
10077bori1243bori1243,10077,405,NA,bori1243,9,bori1243
20835maor1246maor1246,20835,406,NA,maor1246,7,maor1246
10176Pathansout2649pash1269,10176,407,Pathan,sout2649,10,pash1269
