"song_id","society_id","unusualness_region","regional_mean","society_mean","society_region_diff","nn_distance_km","nearest_phyloneighbour","n_neighbours_250","n_neighbours_500","n_neighbours_1000","u_ea","u_kinship","u_economy","u_housing","GlottoID","FamilyLevGlottocode","Region","Society_latitude"
3698,18976,-30.6142986801158,-38.6779564153375,-45.6482957944873,-6.97033937914981,465.327122661621,0.061908862,0,1,3,-20.6261413510973,-12.1242000589347,-4.274065337316,-7.04925484125584,"kory1246","chuk1271","North Eurasia",63.91
3699,18976,-30.1466076864564,-38.6779564153375,-45.6482957944873,-6.97033937914981,465.327122661621,0.061908862,0,1,3,-20.6261413510973,-12.1242000589347,-4.274065337316,-7.04925484125584,"kory1246","chuk1271","North Eurasia",63.91
3701,18976,-51.7795661228848,-38.6779564153375,-45.6482957944873,-6.97033937914981,465.327122661621,0.061908862,0,1,3,-20.6261413510973,-12.1242000589347,-4.274065337316,-7.04925484125584,"kory1246","chuk1271","North Eurasia",63.91
3718,26588,-70.9404679768145,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3719,26588,-57.735131410518,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3720,26588,-61.183334856484,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3721,26588,-61.0502081970656,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3722,26588,-37.7016770785591,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3724,26588,-61.6881890776941,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3725,26588,-36.1023983245108,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3726,26588,-35.3501401841252,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3727,26588,-48.698355531925,-44.1634458617767,-52.2722114041885,-8.10876554241177,74.7476456847755,0.0792881455,1,10,12,-14.7412807503609,-10.1269900912459,-2.98328882896316,-3.26110779615848,"tapi1254","tupi1275","South America",-10.54
3754,18371,-46.7888640735751,-48.5962067567524,-50.0648351250212,-1.46862836826882,103.415362731399,0.0336668774,1,2,8,-27.4000540756218,-16.2461911846174,-4.35084148582584,-6.24302761686066,"mala1464","drav1251","South Asia",10.85
3755,18371,-47.9075883246739,-48.5962067567524,-50.0648351250212,-1.46862836826882,103.415362731399,0.0336668774,1,2,8,-27.4000540756218,-16.2461911846174,-4.35084148582584,-6.24302761686066,"mala1464","drav1251","South Asia",10.85
3830,21869,-54.6167658295947,-48.5962067567524,-48.0990500775913,0.497156679161101,64.5997640279479,0.0409507589,2,16,34,-11.5746467575515,-6.20907458797479,-3.57068292827626,-1.23489545298252,"mund1320","aust1305","South Asia",25.04
3831,21869,-43.8670700706896,-48.5962067567524,-48.0990500775913,0.497156679161101,64.5997640279479,0.0409507589,2,16,34,-11.5746467575515,-6.20907458797479,-3.57068292827626,-1.23489545298252,"mund1320","aust1305","South Asia",25.04
3832,21869,-49.8389365772552,-48.5962067567524,-48.0990500775913,0.497156679161101,64.5997640279479,0.0409507589,2,16,34,-11.5746467575515,-6.20907458797479,-3.57068292827626,-1.23489545298252,"mund1320","aust1305","South Asia",25.04
3833,21869,-47.7613199091007,-48.5962067567524,-48.0990500775913,0.497156679161101,64.5997640279479,0.0409507589,2,16,34,-11.5746467575515,-6.20907458797479,-3.57068292827626,-1.23489545298252,"mund1320","aust1305","South Asia",25.04
3834,21869,-49.0079688412589,-48.5962067567524,-48.0990500775913,0.497156679161101,64.5997640279479,0.0409507589,2,16,34,-11.5746467575515,-6.20907458797479,-3.57068292827626,-1.23489545298252,"mund1320","aust1305","South Asia",25.04
3835,21869,-43.5022392376486,-48.5962067567524,-48.0990500775913,0.497156679161101,64.5997640279479,0.0409507589,2,16,34,-11.5746467575515,-6.20907458797479,-3.57068292827626,-1.23489545298252,"mund1320","aust1305","South Asia",25.04
3861,13102,-49.3048639284397,-44.1634458617767,-49.6343582614557,-5.47091239967896,27.050754970753,0.0601382539,6,9,10,-14.6689539250542,-9.64122998818189,-5.62234615857842,-2.05713499183254,"kama1373","tupi1275","South America",-12.27
3862,13102,-81.2297461484935,-44.1634458617767,-49.6343582614557,-5.47091239967896,27.050754970753,0.0601382539,6,9,10,-14.6689539250542,-9.64122998818189,-5.62234615857842,-2.05713499183254,"kama1373","tupi1275","South America",-12.27
3863,13102,-58.1131184997719,-44.1634458617767,-49.6343582614557,-5.47091239967896,27.050754970753,0.0601382539,6,9,10,-14.6689539250542,-9.64122998818189,-5.62234615857842,-2.05713499183254,"kama1373","tupi1275","South America",-12.27
388,28271,-45.4693292769465,-46.3345783367239,-55.4275047019683,-9.0929263652444,231.302134723428,0.086883883,1,4,25,-25.3147735639751,-16.8072251550388,-3.46819059809654,-4.71031516838685,"viet1252","aust1305","Southeast Asia",18.39
389,27028,-46.9397425836044,-48.5962067567524,-51.2482483589184,-2.65204160216601,410.002064417897,0.1218282666,0,2,24,-14.2843790448367,-7.45386938682099,-2.33593846528357,-3.93457740441421,"tibe1272","sino1245","South Asia",29.64
3901,20989,-40.9205774302863,-44.1634458617767,-47.3743117113326,-3.21086584955585,224.113286161601,0.186113767,1,5,9,-24.0785373505199,-15.0573303903863,-13.5001022743149,-4.81925241420503,"wich1264","mata1289","South America",-23.16
3902,20989,-60.7618135645606,-44.1634458617767,-47.3743117113326,-3.21086584955585,224.113286161601,0.186113767,1,5,9,-24.0785373505199,-15.0573303903863,-13.5001022743149,-4.81925241420503,"wich1264","mata1289","South America",-23.16
